Account Name,Security,Trade Date,Total Buy Qty,Total Sell Qty,Shares Traded,Long Realized PnL,Short Realized PnL,Long Unrealized PnL,Short Unrealized PnL,Realized PnL Gross,Realized PnL (with Commissions),Unrealized Cummulative,Unrealized Changed (Day Wise),Buy Exposure,Sell Exposure,GMV,NMV,Buy Average price,Sell Average price,Close price,Exposure
model10,AGNC,9/2/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.58,0
model10,AGNC,9/3/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6,0
model10,AGNC,9/4/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.48,0
model10,AGNC,9/5/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.7,0
model10,AGNC,9/8/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.68,0
model10,AGNC,9/9/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.38,0
model10,AGNC,9/10/14 15:59,898,0,898,0,0,0,0,0,0,0,0,20815.64,0,20815.64,20815.64,23.18,0,23.18,20815.64
model10,AGNC,9/11/14 0:00,898,0,0,0,0,107.76,0,0,0,107.76,107.76,20923.4,0,20923.4,20923.4,23.18,0,23.3,20923.4
model10,AGNC,9/12/14 0:00,898,0,0,0,0,-422.06,0,0,0,-422.06,-529.82,20393.58,0,20393.58,20393.58,23.18,0,22.71,20393.58
model10,AGNC,9/15/14 0:00,898,0,0,0,0,-404.1,0,0,0,-404.1,17.96,20411.54,0,20411.54,20411.54,23.18,0,22.73,20411.54
model10,AGNC,9/16/14 0:00,898,0,0,0,0,-511.86,0,0,0,-511.86,-107.76,20303.78,0,20303.78,20303.78,23.18,0,22.61,20303.78
model10,AGNC,9/17/14 15:59,1796,0,898,0,0,-579.21,0,0,0,-579.21,-67.35,40481.84,0,40481.84,40481.84,22.8625,0,22.54,40481.84
model10,AGNC,9/18/14 0:00,1796,0,0,0,0,-1315.57,0,0,0,-1315.57,-736.36,39745.48,0,39745.48,39745.48,22.8625,0,22.13,39745.48
model10,AGNC,9/19/14 0:00,1796,0,0,0,0,-722.89,0,0,0,-722.89,592.68,40338.16,0,40338.16,40338.16,22.8625,0,22.46,40338.16
model10,AGNC,9/22/14 0:00,1796,0,0,0,0,-1100.05,0,0,0,-1100.05,-377.16,39961,0,39961,39961,22.8625,0,22.25,39961
model10,AGNC,9/23/14 0:00,1796,0,0,0,0,-1243.73,0,0,0,-1243.73,-143.68,39817.32,0,39817.32,39817.32,22.8625,0,22.17,39817.32
model10,AGNC,9/24/14 0:00,1796,0,0,0,0,-1387.41,0,0,0,-1387.41,-143.68,39673.64,0,39673.64,39673.64,22.8625,0,22.09,39673.64
model10,AGNC,9/25/14 0:00,1796,0,0,0,0,-1369.45,0,0,0,-1369.45,17.96,39691.6,0,39691.6,39691.6,22.8625,0,22.1,39691.6
model10,AGNC,9/26/14 0:00,1796,0,0,0,0,-2536.85,0,0,0,-2536.85,-1167.4,38524.2,0,38524.2,38524.2,22.8625,0,21.45,38524.2
model10,AGNC,9/29/14 0:00,1796,0,0,0,0,-2536.85,0,0,0,-2536.85,0,38524.2,0,38524.2,38524.2,22.8625,0,21.45,38524.2
model10,AGNC,9/30/14 0:00,1796,0,0,0,0,-2896.05,0,0,0,-2896.05,-359.2,38165,0,38165,38165,22.8625,0,21.25,38165
model10,AGNC,10/1/14 15:59,1796,1796,1796,-2249.49,0,0,0,-2249.49,-2253.62,0,0,0,0,0,0,0,0,21.61,0
model10,AGNC,10/2/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.45,0
model10,AGNC,10/3/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.46,0
model10,AGNC,10/6/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.71,0
model10,AGNC,10/7/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.98,0
model10,AGNC,10/8/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.44,0
model10,AGNC,10/9/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.56,0
model10,AGNC,10/10/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.62,0
model10,AGNC,10/13/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.94,0
model10,AGNC,10/14/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.94,0
model10,AGNC,10/15/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.58,0
model10,AGNC,10/16/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.28,0
model10,AGNC,10/17/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.45,0
model10,AGNC,10/20/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.66,0
model10,AGNC,10/21/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.84,0
model10,AGNC,10/22/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.96,0
model10,AGNC,10/23/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.9,0
model10,AGNC,10/24/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.02,0
model10,AGNC,10/27/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.2,0
model10,AGNC,10/28/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.12,0
model10,AGNC,10/29/14 15:59,278,0,278,0,0,1.39,0,0,0,1.39,1.39,6249.44,0,6249.44,6249.44,22.475,0,22.48,6249.44
model10,AGNC,10/30/14 0:00,278,0,0,0,0,59.77,0,0,0,59.77,58.38,6307.82,0,6307.82,6307.82,22.475,0,22.69,6307.82
model10,AGNC,10/31/14 0:00,278,0,0,0,0,73.67,0,0,0,73.67,13.9,6321.72,0,6321.72,6321.72,22.475,0,22.74,6321.72
model10,AMP,9/2/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.75,0
model10,AMP,9/3/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.01,0
model10,AMP,9/4/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.61,0
model10,AMP,9/5/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.41,0
model10,AMP,9/8/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.31,0
model10,AMP,9/9/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.72,0
model10,AMP,9/10/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.6,0
model10,AMP,9/11/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.89,0
model10,AMP,9/12/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.84,0
model10,AMP,9/15/14 15:59,168,0,168,0,0,-5.68,0,0,0,-5.68,-5.68,20790,0,20790,20790,123.7838095,0,123.75,20790
model10,AMP,9/16/14 0:00,168,0,0,0,0,164,0,0,0,164,169.68,20959.68,0,20959.68,20959.68,123.7838095,0,124.76,20959.68
model10,AMP,9/17/14 15:59,168,168,168,465.72,0,0,0,465.72,464.95,0,0,0,0,0,0,0,0,126.55,0
model10,AMP,9/18/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.57,0
model10,AMP,9/19/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.65,0
model10,AMP,9/22/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.76,0
model10,AMP,9/23/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.87,0
model10,AMP,9/24/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.22,0
model10,AMP,9/25/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.94,0
model10,AMP,9/26/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.14,0
model10,AMP,9/29/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.58,0
model10,AMP,9/30/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.38,0
model10,AMP,10/1/14 15:59,174,0,174,0,0,-3.48,0,0,0,-3.48,-3.48,20819.1,0,20819.1,20819.1,119.67,0,119.65,20819.1
model10,AMP,10/2/14 0:00,174,0,0,0,0,43.5,0,0,0,43.5,46.98,20866.08,0,20866.08,20866.08,119.67,0,119.92,20866.08
model10,AMP,10/3/14 15:59,174,174,174,370.62,0,0,0,370.62,369.84,0,0,0,0,0,0,0,0,121.84,0
model10,AMP,10/6/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.89,0
model10,AMP,10/7/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.07,0
model10,AMP,10/8/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.62,0
model10,AMP,10/9/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.05,0
model10,AMP,10/10/14 15:59,90,0,90,0,0,-0.9,0,0,0,-0.9,-0.9,10309.5,0,10309.5,10309.5,114.56,0,114.55,10309.5
model10,AMP,10/13/14 15:59,180,0,90,0,0,-251.1,0,0,0,-251.1,-250.2,20120.4,0,20120.4,20120.4,113.175,0,111.78,20120.4
model10,AMP,10/14/14 0:00,180,0,0,0,0,-247.5,0,0,0,-247.5,3.6,20124,0,20124,20124,113.175,0,111.8,20124
model10,AMP,10/15/14 0:00,180,0,0,0,0,-688.5,0,0,0,-688.5,-441,19683,0,19683,19683,113.175,0,109.35,19683
model10,AMP,10/16/14 0:00,180,0,0,0,0,-594.9,0,0,0,-594.9,93.6,19776.6,0,19776.6,19776.6,113.175,0,109.87,19776.6
model10,AMP,10/17/14 15:59,180,180,180,-157.5,0,0,0,-157.5,-158.27,0,0,0,0,0,0,0,0,112.3,0
model10,AMP,10/20/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.47,0
model10,AMP,10/21/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.57,0
model10,AMP,10/22/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.75,0
model10,AMP,10/23/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.51,0
model10,AMP,10/24/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.65,0
model10,AMP,10/27/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.5,0
model10,AMP,10/28/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.3,0
model10,AMP,10/29/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.76,0
model10,AMP,10/30/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.11,0
model10,AMP,10/31/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.17,0
model10,AMT,9/2/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.78,0
model10,AMT,9/3/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.11,0
model10,AMT,9/4/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.6,0
model10,AMT,9/5/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.63,0
model10,AMT,9/8/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.36,0
model10,AMT,9/9/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.56,0
model10,AMT,9/10/14 15:59,213,0,213,0,0,-2.26,0,0,0,-2.26,-2.26,20761.11,0,20761.11,20761.11,97.48061033,0,97.47,20761.11
model10,AMT,9/11/14 0:00,213,0,0,0,0,74.42,0,0,0,74.42,76.68,20837.79,0,20837.79,20837.79,97.48061033,0,97.83,20837.79
model10,AMT,9/12/14 0:00,213,0,0,0,0,-313.24,0,0,0,-313.24,-387.66,20450.13,0,20450.13,20450.13,97.48061033,0,96.01,20450.13
model10,AMT,9/15/14 15:59,426,0,213,0,0,-507.07,0,0,0,-507.07,-193.83,40529.64,0,40529.64,40529.64,96.33030516,0,95.14,40529.64
model10,AMT,9/16/14 0:00,426,0,0,0,0,-366.49,0,0,0,-366.49,140.58,40670.22,0,40670.22,40670.22,96.33030516,0,95.47,40670.22
model10,AMT,9/17/14 0:00,426,0,0,0,0,-298.33,0,0,0,-298.33,68.16,40738.38,0,40738.38,40738.38,96.33030516,0,95.63,40738.38
model10,AMT,9/18/14 0:00,426,0,0,0,0,-191.83,0,0,0,-191.83,106.5,40844.88,0,40844.88,40844.88,96.33030516,0,95.88,40844.88
model10,AMT,9/19/14 0:00,426,0,0,0,0,-498.55,0,0,0,-498.55,-306.72,40538.16,0,40538.16,40538.16,96.33030516,0,95.16,40538.16
model10,AMT,9/22/14 0:00,426,0,0,0,0,-860.65,0,0,0,-860.65,-362.1,40176.06,0,40176.06,40176.06,96.33030516,0,94.31,40176.06
model10,AMT,9/23/14 0:00,426,0,0,0,0,-1022.53,0,0,0,-1022.53,-161.88,40014.18,0,40014.18,40014.18,96.33030516,0,93.93,40014.18
model10,AMT,9/24/14 0:00,426,0,0,0,0,-911.77,0,0,0,-911.77,110.76,40124.94,0,40124.94,40124.94,96.33030516,0,94.19,40124.94
model10,AMT,9/25/14 0:00,426,0,0,0,0,-1367.59,0,0,0,-1367.59,-455.82,39669.12,0,39669.12,39669.12,96.33030516,0,93.12,39669.12
model10,AMT,9/26/14 0:00,426,0,0,0,0,-1227.01,0,0,0,-1227.01,140.58,39809.7,0,39809.7,39809.7,96.33030516,0,93.45,39809.7
model10,AMT,9/29/14 0:00,426,0,0,0,0,-1184.41,0,0,0,-1184.41,42.6,39852.3,0,39852.3,39852.3,96.33030516,0,93.55,39852.3
model10,AMT,9/30/14 15:59,426,426,426,-1150.33,0,0,0,-1150.33,-1151.99,0,0,0,0,0,0,0,0,93.63,0
model10,AMT,10/1/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.45,0
model10,AMT,10/2/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.49,0
model10,AMT,10/3/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.88,0
model10,AMT,10/6/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.88,0
model10,AMT,10/7/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.36,0
model10,AMT,10/8/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.33,0
model10,AMT,10/9/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.75,0
model10,AMT,10/10/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.71,0
model10,AMT,10/13/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.04,0
model10,AMT,10/14/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.35,0
model10,AMT,10/15/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.98,0
model10,AMT,10/16/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.46,0
model10,AMT,10/17/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.17,0
model10,AMT,10/20/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.09,0
model10,AMT,10/21/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.6,0
model10,AMT,10/22/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.94,0
model10,AMT,10/23/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.87,0
model10,AMT,10/24/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.17,0
model10,AMT,10/27/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.15,0
model10,AMT,10/28/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.4,0
model10,AMT,10/29/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.05,0
model10,AMT,10/30/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.9,0
model10,AMT,10/31/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.5,0
model10,ASBC,9/2/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.34,0
model10,ASBC,9/3/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.27,0
model10,ASBC,9/4/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.32,0
model10,ASBC,9/5/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.32,0
model10,ASBC,9/8/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.32,0
model10,ASBC,9/9/14 15:59,1149,0,1149,0,0,-10.27,0,0,0,-10.27,-10.27,20819.88,0,20819.88,20819.88,18.12893386,0,18.12,20819.88
model10,ASBC,9/10/14 15:59,1149,1149,1149,208.04,0,0,0,208.04,205.52,0,0,0,0,0,0,0,0,18.32,0
model10,ASBC,9/11/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.3,0
model10,ASBC,9/12/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.53,0
model10,ASBC,9/15/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.41,0
model10,ASBC,9/16/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.29,0
model10,ASBC,9/17/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.33,0
model10,ASBC,9/18/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.51,0
model10,ASBC,9/19/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.33,0
model10,ASBC,9/22/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.03,0
model10,ASBC,9/23/14 15:59,1166,0,1166,0,0,-10.16,0,0,0,-10.16,-10.16,20824.76,0,20824.76,20824.76,17.86871355,0,17.86,20824.76
model10,ASBC,9/24/14 0:00,1166,0,0,0,0,24.82,0,0,0,24.82,34.98,20859.74,0,20859.74,20859.74,17.86871355,0,17.89,20859.74
model10,ASBC,9/25/14 15:59,2332,0,1166,0,0,-312.32,0,0,0,-312.32,-337.14,41066.52,0,41066.52,41066.52,17.74392796,0,17.61,41066.52
model10,ASBC,9/26/14 0:00,2332,0,0,0,0,-149.08,0,0,0,-149.08,163.24,41229.76,0,41229.76,41229.76,17.74392796,0,17.68,41229.76
model10,ASBC,9/29/14 0:00,2332,0,0,0,0,-312.32,0,0,0,-312.32,-163.24,41066.52,0,41066.52,41066.52,17.74392796,0,17.61,41066.52
model10,ASBC,9/30/14 0:00,2332,0,0,0,0,-755.4,0,0,0,-755.4,-443.08,40623.44,0,40623.44,40623.44,17.74392796,0,17.42,40623.44
model10,ASBC,10/1/14 0:00,2332,0,0,0,0,-1058.56,0,0,0,-1058.56,-303.16,40320.28,0,40320.28,40320.28,17.74392796,0,17.29,40320.28
model10,ASBC,10/2/14 0:00,2332,0,0,0,0,-918.64,0,0,0,-918.64,139.92,40460.2,0,40460.2,40460.2,17.74392796,0,17.35,40460.2
model10,ASBC,10/3/14 15:59,2332,2332,2332,-662.12,0,0,0,-662.12,-667.31,0,0,0,0,0,0,0,0,17.46,0
model10,ASBC,10/6/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.33,0
model10,ASBC,10/7/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.97,0
model10,ASBC,10/8/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.34,0
model10,ASBC,10/9/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.95,0
model10,ASBC,10/10/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.84,0
model10,ASBC,10/13/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.82,0
model10,ASBC,10/14/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.09,0
model10,ASBC,10/15/14 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.75,0
